Date_&_Time,Mill_TPH,Clinker_TPH,Gypsum_TPH,DFA_TPH,WFA_TPH,Mill_KW,Mill_Inlet_Temp,Mill_Outlet_Temp,Mill_Outlet_BE_Amp,Mill_Vent_Fan_RPM,Mill_Vent_Fan_KW,Mill_Vent_BF_Inlet_Draft,Mill_Vent_BF_Outlet_Draft,Reject,Sep_RPM,Sep_KW,Sep_Amp,CA_Fan_RPM,CA_Fan_KW,Mill_Folaphone,Mill_Inlet_Draft,Mill_Outlet_Draft,Sep_Vent_Inlet_Draft,Sep_Vent_Outlet_Draft,Sep_Vent_bag_filter_fan_kw,Sep_Vent_bag_filter_fan_rpm,Residue
02-06-2022 10:35,165.28,102.14,5.29,53.71,4.13,3710.48,28.01,85.47,44.27,899.94,43.97,80.19,207.83,107.17,952.3,54.39,142.63,900.35,326.84,97.01,20.2,85.6,135.3,212.6,14.6,750,14.5
02-06-2022 11:25,167.86,103.74,5.37,54.55,4.2,3685.35,28.91,90.96,45.49,899.94,44.05,85.15,209.32,86.26,952.43,48.56,138.15,900.31,327.58,97.12,23.6,83.5,132.6,212.6,14.9,750,12.8
02-06-2022 12:34,166.28,102.76,5.32,54.04,4.16,3653.52,30.37,89.56,49.15,899.94,43.94,80.08,207.36,79.82,962.2,45.74,137.43,900.31,315.71,96.66,21.5,90,132.5,212.8,13.99,750,13.6
02-06-2022 14:35,166.39,102.83,5.32,54.08,4.16,3648.05,33.05,93.17,47.24,899.94,43.77,83.68,203.11,133.27,952.37,58.02,147.06,900.38,320.64,93.73,20.5,82.1,133.2,213.3,14.25,750,14.2
02-06-2022 17:32,161.46,99.78,5.17,52.47,4.04,3664.31,34.2,92.67,52.52,880,43.22,89.46,188.25,102.24,957.52,50.77,140.32,900.39,321.94,96.14,23.5,87.88,133.6,212.8,14.9,750,16.1
02-06-2022 18:27,160.67,99.3,5.14,52.22,4.02,3646.03,34.29,98.1,50,880,43.48,86.38,181.68,128.98,967.06,56.81,145.55,900.42,319.28,96.39,22.6,85.99,134.3,212.7,14.25,750,16.5
02-06-2022 19:26,165.87,102.51,5.31,53.91,4.15,3596.22,33.27,90.75,58,899.94,43.23,87.97,177.68,32.88,967.09,62.71,151.18,900.44,318.54,96.59,18,82.2,133.6,211.4,15.2,750,16.7
02-06-2022 20:30,171.5,105.99,5.49,55.74,4.29,3588.11,29.79,81.5,42.77,899.94,43.95,78.39,195.71,28.18,962.47,25.99,124.7,905.24,316.44,96.9,19.9,88.3,132.5,212.3,15.6,750,13.9
02-06-2022 22:29,165.63,102.36,5.3,53.83,4.14,3683.26,28.66,92.95,44.83,899.94,44.16,80.27,189.78,49.71,962.64,34.15,129.16,900.24,332.59,96.48,19.5,83.1,132.5,211.3,14.7,750,14.5
02-06-2022 23:33,171.09,105.73,5.47,55.6,4.28,3639.96,28.09,89.93,48.56,899.94,44.15,78.75,201.79,77.1,962.56,45.34,136.56,900.31,328.17,96.97,19.9,87,133.2,212.3,14.5,750,14.7
